epub_Date,Journal,xml_file_name,article_title,Prism,ImageJ,Matlab,Fiji,R
19-5-2019,ASN_Neuro,PMC6535906.nxml,"Higher Level of Mismatch in APOE
ε4 Carriers for Amyloid-Beta Peptide Alzheimer’s Disease Biomarkers in Cerebrospinal Fluid",2,0,0,0,0
14-9-2020,ASN_Neuro,PMC7495938.nxml,Tropomyosin Receptor Kinase B Expressed in Oligodendrocyte Lineage Cells Functions to Promote Myelin Following a Demyelinating Lesion,4,2,0,0,0
19-4-2019,ASN_Neuro,PMC6475859.nxml,"Global Brain Transcriptome Analysis of a Tpp1
Neuronal Ceroid Lipofuscinoses Mouse Model",0,2,0,0,0
14-12-2018,ASN_Neuro,PMC6295693.nxml,"Upregulated SK2 Expression and Impaired CaMKII Phosphorylation Are
Shared Synaptic Defects Between 16p11.2del and 129S:Δdisc1
Mutant Mice",2,0,0,0,0
26-6-2020,Acta_Neuropathol_Commun,PMC7318465.nxml,RBM45 associates with nuclear stress bodies and forms nuclear inclusions during chronic cellular stress and in neurodegenerative diseases,0,1,0,0,1
1-3-2019,Acta_Neuropathol_Commun,PMC6396567.nxml,Altered myogenesis and premature senescence underlie human TRIM32-related myopathy,1,1,0,0,0
9-6-2020,Acta_Neuropathol_Commun,PMC7285785.nxml,Transplantation of induced neural stem cells (iNSCs) into chronically demyelinated corpus callosum ameliorates motor deficits,1,1,0,0,0
27-1-2020,Aging_(Albany_NY),PMC7053615.nxml,Autocrine CXCL8-dependent invasiveness triggers modulation of actin cytoskeletal network and cell dynamics,1,0,0,0,0
17-4-2020,Alzheimers_Dement_(Amst),PMC7233421.nxml,Down syndrome: Distribution of brain amyloid in mild cognitive impairment,0,0,0,0,1
11-11-2020,Alzheimers_Dement_(Amst),PMC7656170.nxml,Brain amyloid and the transition to dementia in Down syndrome,0,0,0,0,1
2-3-2020,Am_J_Physiol_Renal_Physiol,PMC7242633.nxml,Reduced O-GlcNAcylation and tubular hypoxia contribute to the antifibrotic effect of SGLT2 inhibitor dapagliflozin in the diabetic kidney,0,1,0,0,0
02-9-2020,Ann_Med_Surg_(Lond),PMC7490447.nxml,"Laparoscopic procedures impact on mast cell mediators, extracellular matrix and adhesion scoring system in rats",0,2,0,0,0
29-5-2020,Arch_Toxicol,PMC7415754.nxml,The mycotoxin deoxynivalenol activates GABAergic neurons in the reward system and inhibits feeding and maternal behaviours,0,1,0,0,0
3-11-2017,BMC_Biol,PMC5670698.nxml,Optical inhibition of larval zebrafish behaviour with anion channelrhodopsins,0,0,0,1,0
